Name,Image,Description,Category,Rating (out of 10),Playtime (mins),Players,Difficulty (out of 5)
Press Start Pocket: Series 3,=IMAGE("https://cf.geekdo-images.com/-OE1KwrU3vbJD5R92Ix7cg__original/img/_ukjM00TnWeg7I-bo_g-tDezm4k=/0x0/filters:format(jpeg)/pic1700728.jpg"),"Press Start Pocket is a 2 player game deck of 56 cards.

Each deck (Series 1, Series 2, Series 3) is a stand-alone 2 player game. Two decks can be combined for a 3-4 player game, and 3 decks can be combined for a 5-6 player game. Combining decks also gives expanded capabilities for warriors.


Battle to win control of the pixel world.

Players start with a video game warrior and battle their opponent to take control of the video game universe.

There is no hiding, to win you have to battle.

Overview:

Both players get 7 cards and the rest of the cards are placed in 2 piles face down in the middle of the table.

Pile 1 is a warrior card pile

Pile 2 is an action card pile

The first player draws and action card then either attacks, plays a gather card to earn points toward another warrior or discards.

During a battle the players follow the attacks and counters rule according to the reference card.

To win a player must win 3 battles or earn 4 soldiers all alive at once.

Integrates with:


    Press Start Pocket: Series 1 
    Press Start Pocket: Series 2


",Card Game,4.8,15,2 to 2,0.0
Go,=IMAGE("https://cf.geekdo-images.com/6qAiZwWxSSKP2kFcA80cZg__original/img/oClfNpLGqRwyqeq54Na_VoVAA3o=/0x0/filters:format(jpeg)/pic1728832.jpg"),"By all appearances, it's just two players taking turns laying stones on a 19×19 (or smaller) grid of intersections.  But once its basic rules are understood, Go shows its staggering depth. One can see why many people say it's one of the most elegant brain-burning abstract games in history, with players trying to claim territory by walling off sections of the board and surrounding each other's stones.  The game doesn't end until the board fills up, or, more often, when both players agree to end it, at which time whoever controls the most territory wins.

The earliest mention of Go (åœæ£‹ (wéi qí)- ""surrounding game"") appears in the ""Analects"" of Confucius (551-479 BC), while the earliest physical evidence is a 17×17 Go board discovered in 1952 in a tomb of the former Han dynasty (206 BC- 9 AD). There is a tangle of conflicting popular and scholarly anecdotes attributing its invention to two Chinese emperors, an imperial vassal and court astrologers. One story has it that Go was invented by the legendary Emperor Yao (ruled 2357-2256 BC) as an amusement for his idiot son. A second claims that the Emperor Shun (ruled 2255-2205 BC) created the game in hopes of improving his weak-minded son's mental prowess. A third says the person named Wu, a vassal of the Emperor Jie (ruled 1818-1766 BC), invented Go (as well as games of cards). Finally, a fourth story suggests that Go was developed by court astrologers during the Zhou dynasty (1045-255 BC).

A Go set, consisting of a very general-purpose grid and colored stones, can also be used to play a variety of other abstract strategy games, such as Connect6, Go-Moku, and Pente.

",Abstract Strategy,7.63947,180,2 to 2,3.9333
Diplomacy,=IMAGE("https://cf.geekdo-images.com/CGJihifkrZSqW40zElgXkQ__original/img/m38u19fIxQceN0fJtLU3O31MhXw=/0x0/filters:format(jpeg)/pic7376874.jpg"),"This classic game of pure negotiation has taken many forms over the years.

The first The Avalon Hill Game Co version has perhaps the widest release, but Avalon Hill re-released the game in 1999, complete with a colorful new map and metal pieces.  In 2008, Avalon Hill released a 50th anniversary edition with a new map and cardboard pieces representing the armies and navies.

In the game, players represent one of the seven ""Great Powers of Europe"" (Great Britain, France, Austria-Hungary, Germany, Italy, Russia or Turkey) in the years prior to World War I. Play begins in the Spring of 1901, and players make both Spring and Autumn moves each year. There are only two kinds of military units: armies and fleets. On any given turn, each of your military units has limited options: they can move into an adjoining territory, support an allied unit in an attack on an adjoining territory, support an allied unit in defending an adjoining territory, or hold their position. Players instruct each of their units by writing a set of ""orders."" The outcome of each turn is determined by the rules of the game. There are no dice rolls or other elements of chance. With its incredibly simplistic movement mechanics fused to a significant negotiation element, this system is highly respected by many gamers.

Avalon Hill Complexity rating - 3

Re-implemented by:

    Colonial Diplomacy
    Diplomacy: Classical Variant
    Diplomacy: Hundred Variant


","Bluffing, Negotiation, Political, Post-Napoleonic, Wargame",7.03626,360,2 to 7,3.3408
Cranium,=IMAGE("https://cf.geekdo-images.com/-RAQw4eCx3i__6ctz6-N9A__original/img/Z1nfWJlFJQiirtkqCoMmoDbIQIE=/0x0/filters:format(jpeg)/pic4994220.jpg"),"Cranium bills itself as the ""whole-brain"" game.  It's a party game that borrows from a host of other popular party games of recent times.  Players have to successfully complete activities in each of four sections to win:  In 
 - Creative Cat : A player must clue a word to his or her teammates by drawing it, sculpting it in clay, or drawing it with his or her eyes closed.
 - Data Head :  A variety of trivia questions.  
 - Word Worm : Players unscramble words, spell challenging words, guess definitions, identify words with letters left out, or spell words backwords.  
 - Star Performer : players must whistle a song, impersonate a celebrity, or act out a clue.

Cranium has elements similar to those of Pictionary, Charades, Trivial Pursuit: Genus Edition, Celebrities, Huggermugger, Claymania, etc.

Expanded by:

    Cranium Booster Box 1
    Cranium Booster Box 2
    Cranium New York Booster Pack


","Party Game, Puzzle, Trivia, Word Game",5.68474,60,4 to 16,1.422
Bunny Bunny Moose Moose,=IMAGE("https://cf.geekdo-images.com/VYyr18_uGpO7US7gAs-3Pw__original/img/qmjAQE3tgB8pgOrpH5VfePTeniU=/0x0/filters:format(jpeg)/pic581352.jpg"),"Box text: Once again, the hunter prowls the forest. All the animals flee in terror! Well, not really. Only a dumb animal would call attention to itself. In our forest, the animals are smart, otherwise their heads would be decorating the hunter’s mantelpiece. Our animals just casually saunter away, while convincing the hunter that he must be looking for something else. “Are you hungry for rabbit, Mr. Hunter? Well, you see, I’m a moose. Oh, no, not a moose with antlers like that…”

In this merry game, players take on the roles of rabbits and moose. While the hunter strolls through the forest, players are trying to look like an animal the hunter won’t shoot. And because they do so by making rabbit ears or moose antlers of various shapes on their heads, the spectators enjoy the game as well as the players.

Game contents

6 player cards (1 in each color)
15 trail cards
111 scoring cards
12 figures (1 rabbit and 1 moose in each color)
1 sheet with a poem on each side
1 rules

","Action / Dexterity, Animals, Humor, Party Game",6.04574,20,3 to 6,1.5273
Bananagrams,=IMAGE("https://cf.geekdo-images.com/1QjYPI4bXx4OUMJPlrsNBA__original/img/WA2NRNJx83xq81H2dnnwEDV2Ork=/0x0/filters:format(jpeg)/pic2463443.jpg"),"Bananagrams is a fast and fun word game that requires no pencil, paper or board, and the tiles come in a fabric banana-shaped carrying pouch. One hand can be played in as little as five minutes. Much like Pick Two!, but without the letter values.

Using a selection of 144 plastic letter tiles in the English edition, each player works independently to create their own 'crossword' faster than one's opponents. When a player uses up all their letters, all players take a new tile from the pool. The object of the game is to be the first to complete a word grid after the ""bunch"" of tiles has been depleted.

There are variants included in the instructions, such as Banana Smoothie and Banana cafe for limited set skills or space-deprived places, and the game is suitable for solo play.

","Real-time, Word Game",6.37507,15,1 to 8,1.3121
Backgammon,=IMAGE("https://cf.geekdo-images.com/_6HVCuGni6NunlrSje0ySQ__original/img/DsSzdUyhre6UpncIdOq7zvVb-2Q=/0x0/filters:format(jpeg)/pic1361122.jpg"),"Backgammon is a classic abstract strategy game dating back thousands of years. Each player has a set of 15 checkers (or stones) that must be moved from their starting positions, around, and then off the board. Dice are thrown each turn, and each player must decide which of their checkers to move based on the outcome of the roll. Players can capture each other's checkers, forcing the captured checkers to restart their journey around the board. The winner is the first player to get all 15 checkers off the board. A more recent addition to the game is the ""doubling cube"", which allows players to up the stakes of the game. Although the game relies on dice to determine movement, there is a large degree of strategy in deciding how to make the most effective moves given each dice roll and measuring the risk in terms of possible rolls the opponent may get.

Backgammon may be the first game to be mentioned in written history, going back 5,000 years to the Sumerians of ancient Mesopotamia. During the 1920s, archaeologists unearthed five boards from a cemetery in the ancient town of Ur. At another location, pieces and dice were also found along with the board. Boards from ancient Egypt have also been recovered from the tomb of Tutankhamun, including a mechanical dice box, no doubt intended to stop cheaters.

The names of the game were many. In Persia, Takhteh Nard which means ""Battle on Wood"". In Egypt, Tau, which may be the ancestor of Senat. In Rome, Ludus Duodecim Scriptorum (""game of twelve marks""), later, Tabula (""table""), and by the sixth century, Alea (""dice""). In ancient China, T-shu-p-u and later in Japan, Sugoroko. The English name may derive from ""Bac gamen"" meaning ""Back Game"", referring to re-entry of taken stones back to the board.

It was often enjoyed by the upper classes and is sometimes called ""The Aristocratic Game."" The Roman Emperor Claudius was known to be such a fan that he had a set built into his coach so he could play as he traveled (the world's first travel edition?).

The rules in English were standardized in 1743 by Edmond Hoyle. These remained popular until the American innovations of the 1930s.

","Abstract Strategy, Dice",6.55671,30,2 to 2,2.0135
Welcome To...,=IMAGE("https://cf.geekdo-images.com/g4XmxyKhNVdhC3QPd1purQ__original/img/pb6XFQZFUNOr6OPysOHB3usVDFk=/0x0/filters:format(jpeg)/pic3761012.jpg"),"As an architect in Welcome To..., you want to build the best new town in the United States of the 1950s by adding resources to a pool, hiring employees, and more.

Welcome To... plays like a roll-and-write dice game in which you mark results on a score-sheet...but without dice. Instead you flip cards from three piles to make three different action sets with both a house number and a corresponding action from which everyone chooses one. You use the number to fill in a house on your street in numerical order. Then you take the action to increase the point value of estates you build or score points at the end for building parks and pools. Players also have the option of taking actions to alter or duplicate their house numbers. And everyone is racing to be the first to complete public goals. There's lots to do and many paths to becoming the best suburban architect in Welcome To...!

Because of the communal actions, game play is simultaneous and thus supports large groups of players. With many varying strategies and completely randomized action sets, no two games will feel the same!

",City Building,7.55978,25,1 to 100,1.8314
Santorini,=IMAGE("https://cf.geekdo-images.com/ZjP5gU9SCluEARbZnYtb_A__original/img/Cl2CG4dQjab2Xb05qbeTPzFb2o8=/0x0/filters:format(jpeg)/pic42278.jpg"),"You are a god out of Greek mythology. Compete against fellow gods to get a loyal follower on top of a temple on the beautiful island of Santorini. Each turn you move, and then build a part of the temple. Be careful where you build lest the opposing god get the advantage. Strategic thinking and your unique godly power will win the day.

Santorini includes 75 wooden tiles; 10 wooden domes; and 4 wooden men - all whitewashed and packaged in a white box. Eight Greek god cards are included. Each depicts a classic Greek sculpture of the god and a description of their unique godly power. (The first, bagged, edition included pieces for a third player and only five god cards.)

The rules, god cards and extra god cards can be downloaded from the Files section.  The rules are file Santorini2007.doc.

","Abstract Strategy, Ancient, Mythology",7.26378,20,2 to 3,2.3478
Robinson Crusoe,=IMAGE("https://cf.geekdo-images.com/5i7RNi6o-1THM0zPKE3obg__original/img/F2siW3PQYoD3S8XcrBzaOJOuOjI=/0x0/filters:format(jpeg)/pic528291.jpg"),"Late 19th Century track movement game.  The board features four different starting points with the goal to reach the middle of the board where you find a picture of Robinson Crusoe.

","Children's Game, Novel-based",0.0,10,2 to 4,0.0
Splendor,=IMAGE("https://cf.geekdo-images.com/rwOMxx4q5yuElIvo-1-OFw__original/img/Y2tUGY2nPTGd_epJYKQXPkQD8AM=/0x0/filters:format(jpeg)/pic1904079.jpg"),"Splendor is a game of chip-collecting and card development. Players are merchants of the Renaissance trying to buy gem mines, means of transportation, shops—all in order to acquire the most prestige points. If you're wealthy enough, you might even receive a visit from a noble at some point, which of course will further increase your prestige.

On your turn, you may (1) collect chips (gems), or (2) buy and build a card, or (3) reserve one card. If you collect chips, you take either three different kinds of chips or two chips of the same kind. If you buy a card, you pay its price in chips and add it to your playing area. To reserve a card—in order to make sure you get it, or, why not, your opponents don't get it—you place it in front of you face down for later building; this costs you a round, but you also get gold in the form of a joker chip, which you can use as any gem.

All of the cards you buy increase your wealth as they give you a permanent gem bonus for later buys; some of the cards also give you prestige points. In order to win the game, you must reach 15 prestige points before your opponents do.

","Card Game, Economic, Renaissance",7.42676,30,2 to 4,1.7842
Mastermind,=IMAGE("https://cf.geekdo-images.com/im_XE341_hfKMchAeH6mtw__original/img/8DHauNAVePanWVWT0zIgSkcFrHw=/0x0/filters:format(jpeg)/pic1118956.jpg"),"Guess the color of hidden pegs.  A deduction game where each player takes turn making a limited number of guesses, using logic to deduce what pegs the opponent has hidden.

One player secretly puts four colored pegs in the spaces behind a screen at once end of the game board. The other player, the code breaker, makes a series of guesses. After each guess, the code maker uses smaller pegs to tell the code breaker if their guessed pegs are the right color and in the right place, are the right color but the wrong place, or are the wrong color entirely. The code breaker makes another guess in the next row, building upon information from previous guesses, trying to match the pegs the code maker hid at the beginning of the game.

This is a two-player game with 4 holes. For other combinations, please see the Mastermind Family.

","Abstract Strategy, Deduction",5.61284,20,2 to 2,1.7942
Monikers: More Monikers,=IMAGE("https://cf.geekdo-images.com/SuSv97KFVTg4wtvGoRx6Gw__original/img/8hndxxR6cQmHzLmy-_1e7Y8KKV4=/0x0/filters:format(png)/pic6259418.png"")","Includes 440 new Monikers cards, which is the size of the original game (and four times the size of a regular expansion).

The box can hold up to 2000 Monikers cards.

The 2019 edition of Monikers: More Monikers has been condensed down to 330 cards and a normal sized box.

","Card Game, Humor, Mature / Adult, Party Game",8.29956,60,4 to 20,1.0
Modern Art,=IMAGE("https://cf.geekdo-images.com/wLto-xaabHwKQe_Bc4iD1Q__original/img/s3Gai8XBTVfWFFlYpL4XF3kIlWU=/0x0/filters:format(png)/pic3458036.png"")","Buying and selling paintings can be a very lucrative business.  Five different artists have produced a bunch of paintings, and it's the player's task to be both the buyer and the seller, hopefully making a profit in both roles.  He does this by putting a painting from his hand up for auction each turn.  He gets the money if some other player buys it, but must pay the bank if he buys it for himself.  After each round, paintings are valued by the number of paintings of that type that were sold.  The broker with the most cash after four rounds is the winner.

Part of the Knizia auction trilogy.

","Card Game, Economic",7.47676,45,3 to 5,2.2921
Mission to Mars 2049,=IMAGE("https://cf.geekdo-images.com/wYpzOVt-7Y286PycIm9r-A__original/img/_FAWRCwKBhtqMCOS52fpdAHrEQE=/0x0/filters:format(jpeg)/pic2923733.jpg"),"Do you have a strategy for colonizing Mars faster than anyone else?

Mission to Mars 2049 is a strategic family board game in which players build colonies on Mars in a race to reach the planet’s North Pole. Acquire resources, go on missions, build bases, resource stations, laboratories and roads and finally the game-winning water extraction station on the Martian North Pole!

Mission to Mars 2049 is a light weight strategic family board game that keeps a dynamic game pace from the beginning till the very end. You start with a single base on the outside of the map and gradually build you colony larger one base at a time until you reach the North Pole of Mars and build a road through the polar ice cap. The player who builds the water extraction station on the center of the map first, wins the game. In order to do that you will need lots of resources (air, food and minerals) which you can  acquire by building resource stations. Each time someone rolls that station on the game die, you get one card for each of the stations you have built for that resource.

To add extra strategies to the game, there are mission cards. Peaceful mission cards will allow you to play peacefully and get ahead by building your own colony and acquiring more resources. Aggressive mission cards will let you attack other players and try to stop them from winning. Knowing how to play with these cards will give you lots of strategic advantages during the game.

","Economic, Science Fiction, Space Exploration, Territory Building",5.67218,120,2 to 4,1.8462
Flamme Rouge,=IMAGE("https://cf.geekdo-images.com/sUrK5CCscls-tTc2hJWDPg__original/img/hQOFypZgCn4CQrJnXiNaQc_hjCw=/0x0/filters:format(jpeg)/pic3482521.jpg"),"The excitement in the air is electric as the leaders round the last corner and head for the finish line. Each team has used cunning and skill to position their sprinter for this moment, but only one has done enough to pull off the win!

Will your team lead from the front and risk exhaustion? Should you play it safe in the middle of the pack? Could you surprise everyone by striking from the back? Can you time your move perfectly?

Anyone can race, few become champions!

Flamme Rouge is a fast-paced, tactical bicycle racing game where each player controls a team of two riders: a Rouleur and a Sprinteur. The players’ goal is to be the first to cross the finish line with one of their riders. Players move their riders forward by drawing and playing cards from that riders specific deck, depleting it as they go. Use slipstreams to avoid exhaustion and position your team for a well timed sprint for the win.

","Racing, Sports",7.51375,45,2 to 4,1.6781
Whitehall Mystery,=IMAGE("https://cf.geekdo-images.com/LA-CPp3BnCHkJa8ut85aIQ__original/img/0OqPWgqiD32midVjoYvwTvHZ62Y=/0x0/filters:format(jpeg)/pic3360633.jpg"),"October 1888: During the construction of the Metropolitan Police headquarters near Whitehall, which would later be known as Scotland Yard, the remains of a body were found. In September, a severed arm had already been discovered in the muddy shore of the River Thames.

There is another murderer roaming the streets of London in Whitehall, amusing himself by spreading the pieces of a poor woman around Whitehall, like some kind of macabre treasure hunt. The identity of this monster and his unfortunate victim are a mystery, the Whitehall Mystery.

","Bluffing, Deduction, Memory, Murder/Mystery, Post-Napoleonic",7.55888,60,2 to 4,2.114
Forbidden Desert,=IMAGE("https://cf.geekdo-images.com/OU26qQZoHJodxSFKiR5IzA__original/img/8smpJMuHROyrbu8FP-EOLXjEi0w=/0x0/filters:format(jpeg)/pic1528722.jpg"),"Game description from the publisher:

Gear up for a thrilling adventure to recover a legendary flying machine buried deep in the ruins of an ancient desert city. You'll need to coordinate with your teammates and use every available resource if you hope to survive the scorching heat and relentless sandstorm. Find the flying machine and escape before you all become permanent artifacts of the forbidden desert!

In Forbidden Desert, a thematic sequel to Forbidden Island, players take on the roles of brave adventurers who must throw caution to the wind and survive both blistering heat and blustering sand in order to recover a legendary flying machine buried under an ancient desert city. While featuring cooperative gameplay similar to Forbidden Island, Forbidden Desert is a fresh, new game based around an innovative set of mechanisms such as an ever-shifting board, individual resource management, and a unique method for locating the flying machine parts.

","Adventure, Fantasy, Science Fiction",7.0945,45,2 to 5,2.0396
Funemployed,=IMAGE("https://cf.geekdo-images.com/o-fsLzEaCHcoAv3oxzOI_w__original/img/MaLhTg5Sa0jwAIKP8MYMvxTn_TA=/0x0/filters:format(jpeg)/pic3558503.jpg"),"Funemployed is a card-based party game in which everyone's trying to become employed. Apply for real jobs, like astronaut, lawyer or priest, with unreal qualifications, such as a dragon, the ability to speak panda, or a DeLorean. In the game, each player uses his qualifications to convince the other players that he's the best qualified for a job. To do this, players tell the story of why their qualifications make them the best fit for a job by role-playing and acting like they are on an interview. Find innovative ways to use your qualifications and become the most ""funemployed"" player at the table!

","Card Game, Educational, Humor, Party Game, Word Game",6.69189,30,3 to 20,1.1905
Decrypto,=IMAGE("https://cf.geekdo-images.com/WVGtlwI8Sp0HH4OGozuenA__original/img/29n6zCOJjJMBTRyg3KxDjPJ4y-s=/0x0/filters:format(jpeg)/pic802013.jpg"),"French game published during the 1970's. The players try to find the secret word of at least 6 letters the other player formed behind his screen by using deduction. The mechanism used here are slightly inspired and a crossover between Mastermind and Naval Battle. He who finds the secret word first wins the game.

","Abstract Strategy, Deduction, Word Game",7.5,20,2 to 2,0.0
Unlock!: Mystery Adventures,=IMAGE("https://cf.geekdo-images.com/GeFlXKbZORHBWca3Sl8tSQ__original/img/2cinzeClI1xwX9eyc4j7Kr_V88U=/0x0/filters:format(jpeg)/pic3588255.jpg"),"Unlock! is a cooperative card game inspired by escape rooms that uses a simple system which allows you to search scenes, combine objects, and solve riddles. Play Unlock! to embark on great adventures, while seated at a table using only cards and a companion app that can provide clues, check codes, monitor time remaining, etc.

Unlock! Mystery Adventures features three ""escape room"" scenarios that you can play on your tabletop:


    The House on the Hill: What's going on in this run-down manor? Explore the sinister pieces and foil the curse that haunts this desolate place. Designed by Fabrice Mazza, illustrated by Pierre Santamaria.



    The Nautilus' Traps: Attacked by a sea monster during a dive, you seek shelter by opening a hatch in an old submarine. Find a way back to the surface! Designed by Arnaud Ladagnous, illustrated by Florian de Gesincourt.



    The Tonipal's Treasure: Captain Smith hid his treasure on Tonipal Island. Unravel the mystery before Johnson, another treasure hunter, beats you to it! Designed by Billy Stevenson & Sebastien Pauchon, illustrated by Sergo.


Note: Unlock! requires a free application to be downloaded from the App Store or Google Play. Once downloaded, an internet connection is not required during game play.

","Card Game, Exploration, Puzzle, Real-time",7.37019,75,1 to 6,2.05
Pandemic,=IMAGE("https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__original/img/IsrvRLpUV1TEyZsO5rC-btXaPz0=/0x0/filters:format(jpeg)/pic1534148.jpg"),"In Pandemic, several virulent diseases have broken out simultaneously all over the world! The players are disease-fighting specialists whose mission is to treat disease hotspots while researching cures for each of four plagues before they get out of hand.

The game board depicts several major population centers on Earth. On each turn, a player can use up to four actions to travel between cities, treat infected populaces, discover a cure, or build a research station. A deck of cards provides the players with these abilities, but sprinkled throughout this deck are Epidemic! cards that accelerate and intensify the diseases' activity. A second, separate deck of cards controls the ""normal"" spread of the infections.

Taking a unique role within the team, players must plan their strategy to mesh with their specialists' strengths in order to conquer the diseases. For example, the Operations Expert can build research stations which are needed to find cures for the diseases and which allow for greater mobility between cities; the Scientist needs only four cards of a particular disease to cure it instead of the normal five—but the diseases are spreading quickly and time is running out. If one or more diseases spreads beyond recovery or if too much time elapses, the players all lose. If they cure the four diseases, they all win!

The 2013 edition of Pandemic includes two new characters—the Contingency Planner and the Quarantine Specialist—not available in earlier editions of the game.

Pandemic is the first game in the Pandemic series.

",Medical,7.55449,45,2 to 4,2.4033
Concept,=IMAGE("https://cf.geekdo-images.com/hHFs0_KRoW_FJ0cMIVgZcw__original/img/vbR7Wrdlq4fPcwUE1Ck9CowlJHY=/0x0/filters:format(jpeg)/pic4991925.jpg"),"In Concept, your goal is to guess words through the association of icons. A team of two players – neighbors at the table – choose a word or phrase that the other players need to guess. Acting together, this team places pieces judiciously on the available icons on the game board.

To get others to guess ""milk"", for example, the team might place the question mark icon (which signifies the main concept) on the liquid icon, then cubes of this color on the icons for ""food/drink"" and ""white"". For a more complicated concept, such as ""Leonardo DiCaprio"", the team can use the main concept and its matching cubes to clue players into the hidden phrase being an actor or director, while then using sub-concept icons and their matching cubes to gives clues to particular movies in which DiCaprio starred, such as Titanic or Inception.

The first player to discover the word or phrase receives 2 victory points, the team receives points as well, and the player who ends up with the most points wins.

","Deduction, Party Game",6.77512,40,4 to 12,1.3821
Blood on the Clocktower,=IMAGE("https://cf.geekdo-images.com/HINb2nkFn5IiZxAlzQIs4g__original/img/e7izEwSmnBPiErsIF6hlWbgybBE=/0x0/filters:format(jpeg)/pic7009391.jpg"),"In the quiet village of Ravenswood Bluff, ‌a demon walks amongst you...

During a hellish thunderstorm, on the stroke of midnight, there echoes a bone-chilling scream. The townsfolk rush to investigate and find the town storyteller murdered, their body impaled on the hands of the clocktower, blood dripping onto the cobblestones below. A Demon is on the loose, murdering by night and disguised in human form by day. Some have scraps of information. Others have abilities that fight the evil or protect the innocent. But the Demon and its evil minions are spreading lies to confuse and breed suspicion. Will the good townsfolk put the puzzle together in time to execute the true demon and save themselves? Or will evil overrun this once peaceful village?

Blood on the Clocktower is a bluffing game enjoyed by 5 to 20 players on opposing teams of Good and Evil, overseen by a Storyteller player who conducts the action and makes crucial decisions. The goal of the game is to successfully deduce and execute the demons before they outnumber the townfolk.

During a 'day' phase players socialize openly and whisper privately to trade knowledge or spread lies, culminating in a player's execution if a majority suspects them of being Evil. Of a 'night' time, players close their eyes and are woken one at a time by the Storyteller to gather information, spread mischief, or kill.

The Storyteller uses the game's intricate playing pieces to guide each game, leaving others free to play without a table or board. Players stay in the thick of the action to the very end even if their characters are killed, haunting Ravenswood Bluff as ghosts trying to win from beyond the grave.

If you arrive late to a game, you can enter after it's started as a powerful Traveller character with unusual talents and questionable allegiances. Each character comes with their own special ability and no two players in a game are ever the same character.

","Horror, Murder/Mystery, Party Game",8.3163,120,5 to 20,3.0083
Risk,=IMAGE("https://cf.geekdo-images.com/Oem1TTtSgxOghRFCoyWRPw__original/img/Nu3eXPyOkhtnR3hhpUrtgqRMAfs=/0x0/filters:format(jpeg)/pic4916782.jpg"),"Possibly the most popular, mass market war game.  The goal is conquest of the world.

Each player's turn consists of:
- gaining reinforcements through number of territories held, control of every territory on each continent, and turning sets of bonus cards.
-  Attacking other players using a simple combat rule of comparing the highest dice rolled for each side.  Players may attack as often as desired.  If one enemy territory is successfully taken, the player is awarded with a  bonus card.
-  Moving a group of armies to another adjacent territory.

","Territory Building, Wargame",5.58946,120,2 to 6,2.0704
Risk,=IMAGE("https://cf.geekdo-images.com/Oem1TTtSgxOghRFCoyWRPw__original/img/Nu3eXPyOkhtnR3hhpUrtgqRMAfs=/0x0/filters:format(jpeg)/pic4916782.jpg"),"Possibly the most popular, mass market war game.  The goal is conquest of the world.

Each player's turn consists of:
- gaining reinforcements through number of territories held, control of every territory on each continent, and turning sets of bonus cards.
-  Attacking other players using a simple combat rule of comparing the highest dice rolled for each side.  Players may attack as often as desired.  If one enemy territory is successfully taken, the player is awarded with a  bonus card.
-  Moving a group of armies to another adjacent territory.

","Territory Building, Wargame",5.58946,120,2 to 6,2.0704
Santorini,=IMAGE("https://cf.geekdo-images.com/ZjP5gU9SCluEARbZnYtb_A__original/img/Cl2CG4dQjab2Xb05qbeTPzFb2o8=/0x0/filters:format(jpeg)/pic42278.jpg"),"You are a god out of Greek mythology. Compete against fellow gods to get a loyal follower on top of a temple on the beautiful island of Santorini. Each turn you move, and then build a part of the temple. Be careful where you build lest the opposing god get the advantage. Strategic thinking and your unique godly power will win the day.

Santorini includes 75 wooden tiles; 10 wooden domes; and 4 wooden men - all whitewashed and packaged in a white box. Eight Greek god cards are included. Each depicts a classic Greek sculpture of the god and a description of their unique godly power. (The first, bagged, edition included pieces for a third player and only five god cards.)

The rules, god cards and extra god cards can be downloaded from the Files section.  The rules are file Santorini2007.doc.

","Abstract Strategy, Ancient, Mythology",7.26378,20,2 to 3,2.3478
Meeple Circus,=IMAGE("https://cf.geekdo-images.com/jmdwGVSEsYR9WQ8_Cjjlhg__original/img/WdVD5izYS30uZdZdQSOUSc2lB4w=/0x0/filters:format(jpeg)/pic3895016.jpg"),"Let the show begin!

You have only one goal in Meeple Circus: Entertain the audience. The competition is tough, but you can create the most amazing circus by proposing incredible acts! Acrobats, horses, and many accessories are at your disposal. Be sure to undertake a good rehearsal, then with your remarkable dexterity, you can give them the show of their lifetime. Once the circus music starts, all eyes will be upon you!

In short, Meeple Circus is a dexterity game in which you do what all gamers do when setting up a game: Pile up your meeples!

","Action / Dexterity, Animals",7.05506,45,2 to 5,1.4286
Risk: The Lord of the Rings,=IMAGE("https://cf.geekdo-images.com/i8ryx8pqPonNNUXyRWjQaw__original/img/jD6_3u-Z2e54Szi3I8p6Ma74Wc4=/0x0/filters:format(jpeg)/pic265703.jpg"),"A Lord-of-the-Rings-themed version of Risk, with the following differences:

The map is of Middle Earth, and the tokens represent armies of that fictional world.
(Note that in this ""Two Towers edition"", the first version of the game, the map is incomplete, unless you own the expansion. For the newer version with complete map, see the reimplementation of this, the ""trilogy edition"".)

You play either good or evil.

Leaders, missions and sites of power have been added.

The One Ring acts as a timing mechanism, when it leaves the board, the game ends.

Components for this ""Two Towers edition"":
(""trilogy edition"" has 90 per army)

40 Elven Archers/Orcs
12 Riders of Rohan/Dark Riders
6  Eagles/Cave Trolls
2  shields per color


     Gameboard
     4 Complete armies in different colors: (60 per color)
     42 Territory Cards (9 Good, 9 Evil, 24 Neutral)
     2 Wild Cards
     40 Adventure Cards
     The One Ring
     3 Red Dice
     2 Black Dice


","Adventure, Fantasy, Movies / TV / Radio theme, Novel-based, Territory Building, Wargame",5.91833,120,2 to 4,2.2727
A Game of Thrones,=IMAGE("https://cf.geekdo-images.com/Gr3qfzoK-428kv1M9WUG1Q__original/img/8TVCyztBT_50oYKLtC7dYTxDGnU=/0x0/filters:format(jpeg)/pic1222116.jpg"),"Description from the publisher:

War and chaos are engulfing the lands of Westeros. The great Houses are vying for control of the Iron Throne using the old tools of intrigue and war. Yet while the war for Westeros rages, grave dangers gather in the cold North, and an ancient enemy is gaining momentum in the distant East.

In A Game of Thrones: The Board Game, players take control of one of the great Houses of Westeros. Via resource management, diplomacy, and cunning, they seek to win dominance over the land. Players must give orders to armies, control important characters, gather resources for the coming winter, and survive the onslaught of their enemies. A unique phase mechanic, battle resolution, and special ordering system make for an engaging game in which all players are actively involved at all times.

Reimplemented by:

     A Game of Thrones: The Board Game (Second Edition) (2011)


","Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame",7.18106,180,3 to 5,3.4507
